# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,
# Sat Aug 25 14:58:28 2012,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  order by pl_hostname asc,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#pl_hostname,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name
HD 10697,b,1075.2,2.131,0.099,6.21,,,,,26.232603,20.083149,32.56,6.279,5540,0.93,1.84,10697,8159
HD 107148,b,48.056,0.269,0.05,0.21,,,,,184.806213,-3.319789,51.26,8.015,5550,0.93,1.29,107148,60081
HD 108147,b,10.8985,0.102,0.53,0.261,,,,,186.44278,-64.022087,38.56,6.995,6130,1.19,1.22,108147,60644
HD 108863,b,443.4,1.4,0.1,2.6,,,,,187.582962,21.948244,138.5,7.739,4830,,5.92,108863,61020
HD 108874,b,394.48,1.053,0.128,1.34,,,,,187.612015,22.879829,68.54,8.738,5370,0.86,1.35,108874,61028
HD 108874,c,1680,2.77,0.273,1.064,,,,,187.612015,22.879829,68.54,8.738,5370,0.86,1.35,108874,61028
HD 109246,b,68.27,0.33,0.12,0.77,,,,,188.029953,74.489548,65.62,8.757,5670,0.99,1.11,109246,61177
HD 109749,b,5.24,0.0635,0.01,0.28,,,,,189.318237,-40.812115,59.03,8.208,5690,1,1.28,109749,61595
HD 110014,b,835.477,2.14,0.462,11.09,,,,,189.811523,-7.995564,97.66,4.67,4570,,21.91,110014,61740
HD 111232,b,1143,1.97,0.2,6.8,,,,,192.215637,-68.425148,28.88,7.607,5560,0.94,0.88,111232,62534
HD 113538,b,263.3,0.71,0.61,0.27,,,,,196.239487,-52.442924,15.71,9.07,4020,0.56,0.74,113538,63833
HD 113538,c,1657,2.43,0.32,0.71,,,,,196.239487,-52.442924,15.71,9.07,4020,0.56,0.74,113538,63833
HD 114386,b,937.7,1.65,0.23,1.24,,,,,197.665924,-35.054783,28.04,8.715,4690,0.7,0.84,114386,64295
HD 114729,b,1114,2.11,0.167,0.95,,,,,198.184402,-31.873348,35,6.695,5920,1.11,1.38,114729,64459
HD 114762,b,83.888,0.363,0.3359,11.68,,,,,198.08226,17.517122,40.57,7.301,6210,1.22,1.08,114762,64426
HD 114783,b,493.7,1.16,0.144,1.1,,,,,198.182434,-2.26504,20.43,7.563,4990,0.75,0.85,114783,64457
HD 11506,b,1271,2.43,0.22,3.44,,,,,28.210558,-19.506975,53.82,7.513,5910,1.11,1.46,11506,8770
HD 11506,c,170.6,0.639,0.42,0.82,,,,,28.210558,-19.506975,53.82,7.513,5910,1.11,1.46,11506,8770
HD 116029,b,670.2,1.73,0.21,2.1,,,,,200.164764,24.648699,110.62,7.871,4790,,4.57,116029,65117
HD 117207,b,2597,3.79,0.144,1.88,,,,,202.337967,-35.570995,33.01,7.247,5450,0.89,1.25,117207,65808
HD 117618,b,25.827,0.176,0.42,0.178,,,,,203.106476,-47.271362,38.02,7.169,5890,1.11,1.22,117618,66047
HD 118203,b,6.1335,0.07,0.309,2.13,,,,,203.510574,53.728531,88.57,8.057,5590,0.95,2.15,118203,66192
HD 11964,b,1945,3.16,0.041,0.622,,,,,29.290026,-10.242428,33.98,6.41,5230,0.82,2.11,11964,9094
HD 11964,c,37.91,0.229,0.3,0.0788,,,,,29.290026,-10.242428,33.98,6.41,5230,0.82,2.11,11964,9094
HD 11977,b,711,1.93,0.4,6.54,,,,,28.733881,-67.647301,66.49,4.69,4940,,10.77,11977,8928
HD 121504,b,63.33,0.33,0.03,1.22,,,,,209.321823,-56.040043,44.37,7.517,5880,1.1,1.22,121504,68162
HD 122430,b,344.95,1.02,0.68,3.71,,,,,210.594925,-27.429773,133.16,5.469,4140,,28.97,122430,68581
HD 125595,b,9.6737,0.0809,,0.0413,,,,,215.346603,-40.393948,27.45,9,4640,0.69,0.75,125595,70170
HD 125612,b,559.4,1.37,0.46,3,,,,,215.222977,-17.481522,52.83,8.317,5840,1.09,1.02,125612,70123
HD 125612,c,4.1547,0.05,0.27,0.058,,,,,215.222977,-17.481522,52.83,8.317,5840,1.09,1.02,125612,70123
HD 125612,d,3008,4.2,0.28,7.2,,,,,215.222977,-17.481522,52.83,8.317,5840,1.09,1.02,125612,70123
HD 126525,b,948.12,1.8105,0.13,0.224,,,,,216.887375,-51.933086,38.05,7.84,5560,0.94,1.04,126525,70695
HD 12661,b,262.709,0.831,0.3768,2.3,,,,,31.142866,25.414305,37.16,7.425,5470,0.9,1.28,12661,9683
HD 12661,c,1708,2.9,0.031,1.92,,,,,31.142866,25.414305,37.16,7.425,5470,0.9,1.28,12661,9683
HD 126614,b,1244,2.35,0.41,0.38,,,,,216.701172,-5.17778,68.35,8.788,5100,0.78,1.52,126614,70623
HD 128311,b,454.2,1.086,0.345,1.45,,,,,219.002335,9.746518,16.57,7.487,4860,0.73,0.78,128311,71395
HD 128311,c,923.8,1.745,0.23,3.24,,,,,219.002335,9.746518,16.57,7.487,4860,0.73,0.78,128311,71395
HD 129445,b,1840,2.9,0.7,1.6,,,,,221.512772,-68.762749,67.61,8.787,5310,0.84,1.35,129445,72203
HD 130322,b,10.7085,0.0896,0.011,1.04,,,,,221.886368,-0.281476,29.76,8.031,5290,0.84,0.85,130322,72339
HD 131496,b,883,2.09,0.163,2.2,,,,,223.345947,18.235401,121.36,7.799,4790,,5.19,131496,72845
HD 131664,b,1951,3.17,0.638,18.15,,,,,225.025314,-73.535339,57.21,8.128,5590,0.95,1.35,131664,73408
HD 13189,b,471.6,1.85,0.27,14,,,,,32.417381,32.316437,300.3,7.556,3960,,30.18,13189,10085
HD 132406,b,974,1.98,0.34,5.61,,,,,224.227707,53.382168,70.97,8.467,5780,1.05,1.31,132406,73146
HD 132563,b,1544,2.62,0.22,1.49,,,,,224.589661,44.043148,98.52,8.928,6110,1.19,1.29,132563,73261
HD 134060,b,3.27,0.0444,0.4,0.0351,,,,,227.686432,-61.422321,24.15,6.3,5780,1.05,1.21,134060,74273
HD 134060,c,1160.9,2.2263,0.75,0.1507,,,,,227.686432,-61.422321,24.15,6.3,5780,1.05,1.21,134060,74273
HD 134606,b,12.083,0.1023,0.15,0.0292,,,,,228.812683,-70.519623,26.91,6.854,5400,0.87,1.25,134606,74653
HD 134606,c,59.519,0.2962,0.29,0.0382,,,,,228.812683,-70.519623,26.91,6.854,5400,0.87,1.25,134606,74653
HD 134606,d,459.26,1.1567,0.46,0.121,,,,,228.812683,-70.519623,26.91,6.854,5400,0.87,1.25,134606,74653
HD 134987,b,258.19,0.81,0.233,1.59,,,,,228.369446,-25.309347,25.65,6.45,5560,0.94,1.33,134987,74500
HD 134987,c,5000,5.8,0.12,0.82,,,,,228.369446,-25.309347,25.65,6.45,5560,0.94,1.33,134987,74500
HD 136352,b,11.577,0.0933,0.18,0.0166,,,,,230.450623,-48.317627,14.56,5.65,5720,1.02,1.01,136352,75181
HD 136352,c,27.582,0.1665,0.16,0.0358,,,,,230.450623,-48.317627,14.56,5.65,5720,1.02,1.01,136352,75181
HD 136352,d,106.72,0.411,0.43,0.03,,,,,230.450623,-48.317627,14.56,5.65,5720,1.02,1.01,136352,75181
HD 136418,b,464.3,1.32,0.255,2,,,,,229.775757,41.733208,106.38,7.879,4970,,3.9,136418,74961
