# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,
# Sat Aug 25 14:58:28 2012,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  order by pl_hostname asc,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#pl_hostname,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name
HD 88133,b,3.416,0.047,0.133,0.22,,,,,152.531982,18.186871,74.46,8.001,5190,0.81,2.27,88133,49813
HD 89307,b,2157,3.27,0.241,1.78,,,,,154.588699,12.621108,30.88,7.009,5930,1.11,1.05,89307,50473
HD 89744,b,256.605,0.89,0.67,7.99,,,,,155.544006,41.22953,38.99,5.72,6160,1.2,2.19,89744,50786
HD 90156,b,49.8,,,0.055,,,,,155.980316,-29.645529,22.09,6.932,5670,0.99,0.87,90156,50921
HD 92788,b,325.81,0.97,0.334,3.86,,,,,160.702209,-2.183756,32.32,7.3,5520,0.92,1.15,92788,52409
HD 93083,b,143.58,0.477,0.14,0.37,,,,,161.087143,-33.577023,28.9,8.318,4930,0.74,0.89,93083,52521
HD 93385,b,13.186,0.1116,0.15,0.0263,,,,,161.562973,-41.464367,42.52,7.486,5890,1.11,1.18,93385,52676
HD 93385,c,46.025,0.257,0.24,0.0318,,,,,161.562973,-41.464367,42.52,7.486,5890,1.11,1.18,93385,52676
HD 9446,b,30.052,0.189,0.2,0.7,,,,,23.334101,29.265148,52.85,8.369,5750,1.04,1.04,9446,7245
HD 9446,c,192.9,0.654,0.06,1.82,,,,,23.334101,29.265148,52.85,8.369,5750,1.04,1.04,9446,7245
HD 95089,b,507,1.51,0.157,1.2,,,,,164.698898,1.729216,149.03,7.946,4950,0.75,5.36,95089,53666
HD 96063,b,361.1,0.99,0.28,0.9,,,,,166.185226,-2.513218,132.8,8.254,5190,0.81,3.6,96063,54158
HD 96127,b,647.3,1.4,0.3,4,,,,,166.441452,44.301559,221.24,7.407,3990,,23.04,96127,54232
HD 96167,b,498.9,1.3,0.71,0.68,,,,,166.31279,-10.291301,84.03,8.08,5440,0.89,2.17,96167,54195
HD 96700,b,8.1256,0.0774,0.1,0.0284,,,,,166.976776,-30.174566,26.21,6.54,5890,1.11,1.12,96700,54400
HD 96700,c,103.49,0.422,0.37,0.04,,,,,166.976776,-30.174566,26.21,6.54,5890,1.11,1.12,96700,54400
HD 97658,b,9.494,0.0831,,0.026,,,,,168.638184,25.710384,21.3,7.762,5180,0.8,0.73,97658,54906
HD 98219,b,436.9,1.23,0.21,1.8,,,,,169.448135,-23.975414,150.38,8.033,4930,,5.26,98219,55174
HD 99109,b,439.3,1.105,0.09,0.502,,,,,171.072327,-1.529076,60.46,9.061,5060,0.77,1.22,99109,55664
HD 99492,b,17.054,0.12186,0.13,0.087,,,,,171.692825,3.006328,17.99,6.14,5280,0.83,1.23,99492,55848
HD 99492,c,4970,5.4,0.1,0.36,,,,,171.692825,3.006328,17.99,6.14,5280,0.83,1.23,99492,55848
HD 99706,b,868,2.14,0.365,1.4,,,,,172.125885,43.966579,130.89,7.637,4830,,5.86,99706,55994
HIP 102125,b,4100,,0.63,7.10158,,,,,310.433716,-75.3508,43.57,6.03,5820,,2.43,196067,102125
HIP 107350,b,,773,,21.9987,1.051,,,,326.130554,14.771939,18.39,5.95,5950,1.12,1.01,206860,107350
HIP 115662,b,2191,,0.2,1.18622,,,,,351.470795,-20.61603,45.23,7.758,5900,1.11,1.1,220689,115662
HIP 11952,b,290,0.81,0.27,2.93,,,,,38.546028,-12.384295,115.34,9.854,7090,1.52,0.71,16031,11952
HIP 11952,c,6.95,0.07,0.35,0.78,,,,,38.546028,-12.384295,115.34,9.854,7090,1.52,0.71,16031,11952
HIP 12961,b,57,,,0.47,,,,,41.678692,-23.086611,23.8,10.294,3960,0.63,0.68,,12961
HIP 13044,b,16.2,0.116,0.25,1.25,,,,,41.90601,-36.107513,223.21,9.982,6530,,1.55,,13044
HIP 14810,b,6.673855,0.0692,0.1427,3.88,,,,,47.809292,21.097359,52.88,8.5,5390,0.87,1.15,,14810
HIP 14810,c,147.73,0.545,0.164,1.28,,,,,47.809292,21.097359,52.88,8.5,5390,0.87,1.15,,14810
HIP 14810,d,952,1.89,0.173,0.57,,,,,47.809292,21.097359,52.88,8.5,5390,0.87,1.15,,14810
HIP 20199,b,2220,,0.17,1.70004,,,,,64.939461,-41.960266,44.54,8.243,5650,0.98,0.97,27631,20199
HIP 26380,b,363.2,1.02,0.41,0.34,,,,,84.258408,-73.699341,37.78,6.696,6020,1.16,1.43,38283,26380
HIP 34693,b,305,,,18.1,,,,,107.784882,30.245163,92.51,4.42,4500,,24.49,54719,34693
HIP 5158,b,345.72,0.89,0.52,1.42,,,,,16.508533,-22.453154,44.8,10.167,4650,0.69,0.71,,5158
HIP 5158,c,9017.8,7.7,0.14,15.04,,,,,16.508533,-22.453154,44.8,10.167,4650,0.69,0.71,,5158
HIP 55409,b,10400,,0.86,7.00089,,,,,170.215698,-23.217342,42.77,7.991,5700,1,1.02,98649,55409
HIP 57050,b,41.397,0.163506,0.314,0.298,,,,,175.435974,42.751972,11.03,11.92,3190,0.19,0.39,,57050
HIP 57274,b,8.1352,0.07,0.187,0.036,,,,,176.170685,30.959293,25.87,8.984,4540,0.69,0.81,,57274
HIP 57274,c,32.03,0.178,0.05,0.41,,,,,176.170685,30.959293,25.87,8.984,4540,0.69,0.81,,57274
HIP 57274,d,431.7,1.01,0.27,0.527,,,,,176.170685,30.959293,25.87,8.984,4540,0.69,0.81,,57274
HIP 59743A,b,3630,,0.6,10.4998,,,,,183.777359,-7.257327,36.36,7.971,5230,0.82,1.1,106515,59743
HIP 63510,c,,1168,,6.28536,1.22,,,,195.194092,12.375724,11.43,9.72,3630,0.53,0.6,,63510
HIP 64295,c,1046,,0.06,1.18622,,,,,197.665924,-35.054783,28.04,8.715,4690,0.7,0.84,114386,64295
HIP 70849,b,3000,,,5,,,,,217.327347,-46.463818,23.98,10.38,3940,0.62,0.67,,70849
HIP 75458,b,511.098,1.275,0.7124,8.82,,,,,231.232391,58.966064,31.33,3.29,4610,,12.91,137759,75458
HIP 78530,b,,,,23.04,,,,,240.481064,-21.980389,131.93,7.192,8640,2.1,1.91,143567,78530
HIP 79431,b,111.7,0.36,0.29,2.1,,,,,243.174057,-18.875504,14.9,,,,,,79431
HIP 88048,b,530.32,1.9,0.1256,24,,,,,269.756622,-9.773632,46.84,3.34,4928,3.04,15.1,163917,88048
HIP 88048,c,3186,6.1,0.165,27,,,,,269.756622,-9.773632,46.84,3.34,4928,3.04,15.1,163917,88048
HIP 89354,b,8100,,0.77,4.12187,,,,,273.498657,-42.575375,42.99,9.344,5140,0.8,0.73,166724,89354
HIP 94576,b,396.03,1.4,0.257,22,,,,,288.709198,31.86035,131.75,6.608,4810,,9.61,180314,94576
HIP 9884,b,380.8,1.2,0.25,1.8,,,,,31.793364,23.462423,20.21,2,4460,,16.78,12929,9884
HR 810,b,311.288,0.91,0.24,1.94,,,,,40.639442,-50.800293,17.24,5.41,6040,1.17,1.17,17051,12653
HR 8799,b,170000,68,,7,1.2,,,,346.869659,21.134251,39.94,5.953,7460,1.63,1.34,218396,114189
HR 8799,c,69000,38,,10,1.2,,,,346.869659,21.134251,39.94,5.953,7460,1.63,1.34,218396,114189
HR 8799,d,37000,24,,10,1.2,,,,346.869659,21.134251,39.94,5.953,7460,1.63,1.34,218396,114189
HR 8799,e,18000,14.5,,,,,,,346.869659,21.134251,39.94,5.953,7460,1.63,1.34,218396,114189
HW Vir,b,5767,,,19.2,,,,,191.08432,-8.671344,130.72,,,,,,62157
HW Vir,c,3321,,,8.5,,,,,191.08432,-8.671344,130.72,,,,,,62157
kappa CrB,b,1251,2.6,0.073,1.6,,,,,237.808044,35.657383,31.12,4.82,4877,1.51,5,142091,77655
KELT-2A,b,4.1137912,0.05496,0,1.522,1.286,,88.6,,92.663948,30.957144,124.22,8.713,6210,1.22,1.73,42176,29301
Kepler-21,b,2.785755,0.042507,0,0.03272,0.146,12.9,82.58,0,287.361816,38.714016,107.88,8.25,6131,1.34,1.86,179070,94112
ksi Aql,b,136.75,0.68,0,2.8,,,,,298.562012,8.461452,62.66,4.68,4750,,11.57,188310,97938
omi CrB,b,187.83,0.83,0.191,1.5,,,,,230.03566,29.616209,84.03,5.51,4749,2.13,10.5,136512,75049
omi Uma,b,1630,3.9,0.13,4.1,,,,,127.566124,60.71817,56.31,3.36,5242,3.09,14.1,71369,41704
rho CrB,b,39.845,0.22,0.04,1.04,,,,,240.261093,33.303509,17.43,5.4,5890,1.11,1.26,143761,78459
tau Boo,b,3.3135,0.046,0.018,3.9,,,,,206.815598,17.456905,15.6,4.5,6370,1.27,1.43,120136,67275
ups And,b,4.617033,0.059222,0.0215,0.6876,,,,,24.199345,41.40546,13.47,4.1,6120,1.19,1.62,9826,7513
ups And,c,241.258,0.827774,0.2596,1.981,,,,,24.199345,41.40546,13.47,4.1,6120,1.19,1.62,9826,7513
ups And,d,1276.46,2.51329,0.2987,4.132,,,,,24.199345,41.40546,13.47,4.1,6120,1.19,1.62,9826,7513
ups And,e,3848.86,5.24558,0.00536,1.059,,,,,24.199345,41.40546,13.47,4.1,6120,1.19,1.62,9826,7513
WASP-18,b,0.94145299,0.02026,0.0092,10.43,1.165,8.78,86,,24.354311,-45.677887,105.49,9.303,6400,1.28,1.23,10069,7562
WASP-33,b,1.2198669,0.02555,,4.1,1.497,,87.67,,36.712746,37.550484,116.14,8.142,7430,1.5,1.44,15082,11397
