#Country,Source Type,Date Time,Latitude,Longitude,Depth,Yield,Name,
GBR,Atmospheric,10/04/1956 07:00:00,-29.883,131.623,0,1.5,Marcoo,
GBR,Atmospheric,10/11/1956 05:57:00,-28.89,131.648,-0.15,3,Kite,
GBR,Atmospheric,10/22/1956 14:35:00,-29.895,131.604,-0.034,10,Breakaway,
SOV,Atmospheric,11/17/1956 00:00:00,50.438,77.814,,900,,
SOV,Atmospheric,12/14/1956 00:00:00,50.438,77.814,,40,,
SOV,Atmospheric,01/19/1957 00:00:00,49,46,-10.4,10,,
SOV,Atmospheric,03/08/1957 00:00:00,50.438,77.814,,19,,
SOV,Atmospheric,04/03/1957 00:00:00,50.438,77.814,,42,,
SOV,Atmospheric,04/06/1957 00:00:00,50.438,77.814,,57,,
SOV,Atmospheric,04/10/1957 00:00:00,50.438,77.814,,680,,
SOV,Atmospheric,04/12/1957 00:00:00,50.438,77.814,,22,,
SOV,Atmospheric,04/16/1957 00:00:00,50.438,77.814,,320,,
USA,Atmospheric,04/24/1957 14:27:00,37.3,-116,0,,PROJECT 57 NO.1:Project 57,
GBR,Atmospheric,05/15/1957 19:37:00,-4,-154.9,-2.4,300,Short Granite,
USA,Atmospheric,05/28/1957 11:55:00,37.0947,-116.0236,-0.15,12,BOLTZMANN:Plumbbob,
GBR,Atmospheric,05/31/1957 19:41:00,-4,-154.9,-2.4,720,Orange Herald,
USA,Atmospheric,06/02/1957 11:55:00,37.0478,-116.0211,-0.09,0.14,FRANKLIN:Plumbbob,
USA,Atmospheric,06/05/1957 11:45:00,37.1347,-116.0408,-0.15,0.0005,LASSEN:Plumbbob,
USA,Atmospheric,06/18/1957 11:45:00,37.1347,-116.0408,-0.15,10,WILSON:Plumbbob,
GBR,Atmospheric,06/19/1957 19:40:00,-4,-154.9,-2.4,200,Purple Granite,
USA,Atmospheric,06/24/1957 13:30:00,36.7981,-115.9289,-0.21,37,PRISCILLA:Plumbbob,
USA,Atmospheric,07/01/1957 17:30:00,37.047,-116.032,0,,COULOMB-A:Plumbbob,
USA,Atmospheric,07/05/1957 11:40:00,37.1347,-116.0408,-0.46,74,HOOD:Plumbbob,
USA,Atmospheric,07/15/1957 11:30:00,37.1503,-116.1086,-0.15,17,DIABLO:Plumbbob,
USA,Atmospheric,07/19/1957 14:00:05,37.1606,-116.0531,-9.14,2,JOHN:Plumbbob,
USA,Atmospheric,07/24/1957 11:50:00,37.0833,-116.1,-0.15,10,KEPLER:Plumbbob,
USA,Atmospheric,07/25/1957 13:30:00,37.1347,-116.0408,-0.15,9.7,OWENS:Plumbbob,
USA,Underground,07/26/1957 08:00:00,37.052,-116.034,0.152,,PASCAL A,US Yucca Flat
USA,Atmospheric,08/07/1957 12:25:00,37.0867,-116.0236,-0.46,19,STOKES:Plumbbob,
USA,Underground,08/10/1957 00:59:55,37.19,-116.2,0.039,,SATURN,Rainier Mesa
USA,Atmospheric,08/18/1957 12:00:00,37.128,-116.1064,-0.15,17,SHASTA:Plumbbob,
SOV,Atmospheric,08/22/1957 06:30:00,50.438,77.814,,520,,
USA,Atmospheric,08/23/1957 12:30:00,37.0867,-116.0236,-0.46,11,DOPPLER:Plumbbob,
SOV,Atmospheric,08/26/1957 00:00:00,50.438,77.814,,0.1,,
USA,Underground,08/27/1957 22:35:00,37.049,-116.035,0.152,,PASCAL B,US Yucca Flat
USA,Atmospheric,08/30/1957 12:40:00,37.0867,-116.0236,-0.23,4.7,FRANKLIN PRIME:Plumbbob,
USA,Atmospheric,08/31/1957 12:30:00,37.1872,-116.0678,-0.21,44,SMOKY:Plumbbob,
USA,Atmospheric,09/02/1957 12:40:00,37.0531,-116.1025,-0.15,11,GALILEO:Plumbbob,
USA,Atmospheric,09/06/1957 12:45:00,37.1347,-116.0408,-0.15,0.197,WHEELER:Plumbbob,
USA,Atmospheric,09/06/1957 20:05:01,37.047,-116.032,0,0.3,COULOMB-B:Plumbbob,
SOV,Atmospheric,09/07/1957 08:00:01,70.72,54.7,-0.015,32,,
USA,Atmospheric,09/08/1957 13:00:00,37.0867,-116.0236,-0.23,1,LAPLACE:Plumbbob,
SOV,Atmospheric,09/13/1957 00:00:00,50.438,77.814,,5.9,,
GBR,Atmospheric,09/14/1957 05:05:00,-29.891,131.645,-0.031,0.93,Tadje,
USA,Atmospheric,09/14/1957 16:45:00,37.0336,-116.0314,-0.15,11,FIZEAU:Plumbbob,
USA,Atmospheric,09/16/1957 12:50:00,37.0867,-116.0236,-0.46,12,NEWTON:Plumbbob,
USA,Underground,09/19/1957 16:59:59,37.196,-116.204,0.274,1.7,RAINIER,Rainier Mesa
USA,Atmospheric,09/23/1957 12:30:00,37.1383,-116.1175,-0.15,19,WHITNEY:Plumbbob,
SOV,Atmospheric,09/24/1957 09:00:00,73.85,54.5,-2,1600,,
GBR,Atmospheric,09/25/1957 03:00:00,-29.894,131.616,-0.031,5.67,Biak,
SOV,Atmospheric,09/26/1957 05:00:00,50.438,77.814,,13,,
USA,Atmospheric,09/28/1957 13:00:00,37.1347,-116.0408,-0.46,12,CHARLESTON:Plumbbob,
SOV,Atmospheric,10/06/1957 09:00:00,73.85,54.5,-2.12,2900,,
USA,Atmospheric,10/07/1957 13:00:00,37.1347,-116.0408,-0.15,8,MORGAN:Plumbbob,
GBR,Atmospheric,10/09/1957 06:45:00,-29.896,131.56,-0.3,26.6,Taranaki,
SOV,Underwater,10/10/1957 06:54:32,70.703,54.6,0.03,10,,Novaya Zemlya
GBR,Atmospheric,11/08/1957 17:47:00,1.67,-157.25,-2.25,1800,Round A-C,
USA,Underground,12/06/1957 22:15:00,37.05,-116.032,0.076,,PASCAL C,US Yucca Flat
USA,Atmospheric,12/09/1957 20:00:00,37.047,-116.032,0,0.5,COULOMB-C:Project 58,
SOV,Atmospheric,12/28/1957 00:00:00,50.438,77.814,,12,,
SOV,Atmospheric,01/04/1958 00:00:00,50.438,77.814,,1.3,,
SOV,Atmospheric,01/17/1958 00:00:00,50.438,77.814,,0.5,,
USA,Underground,02/22/1958 01:00:00,37.19,-116.2,0.03,,VENUS,Rainier Mesa
SOV,Atmospheric,02/23/1958 00:00:00,73.85,54.5,-2.5,860,,
SOV,Atmospheric,02/27/1958 07:59:00,73.85,54.5,-2.5,250,,
SOV,Atmospheric,02/27/1958 10:24:00,73.85,54.5,,1500,,
SOV,Atmospheric,03/13/1958 00:00:00,50.438,77.814,,1.2,,
SOV,Atmospheric,03/14/1958 00:00:00,73.85,54.5,,40,,
SOV,Atmospheric,03/14/1958 00:00:00,50.438,77.814,,35,,
USA,Underground,03/14/1958 22:00:00,37.19,-116.2,0.035,,URANUS,Rainier Mesa
SOV,Atmospheric,03/15/1958 00:00:00,50.438,77.814,,14,,
SOV,Atmospheric,03/18/1958 00:00:00,50.438,77.814,,0.16,,
SOV,Atmospheric,03/20/1958 00:00:00,50.438,77.814,,12,,
SOV,Atmospheric,03/21/1958 00:00:00,73.85,54.5,-2.5,650,,
SOV,Atmospheric,03/22/1958 00:00:00,50.438,77.814,,18,,
USA,Atmospheric,04/28/1958 02:40:00,12.603,163.02,-26.21,1.7,YUCCA:Hardtack I,
GBR,Atmospheric,04/28/1958 19:05:00,1.67,-157.25,-2.35,3000,Grapple Y,
USA,Atmospheric,05/05/1958 18:15:00,11.5526,162.3473,0,18,CACTUS:Hardtack I,
USA,Atmospheric,05/11/1958 17:50:00,11.7,165.27,0,1360,FIR:Hardtack I,
USA,Atmospheric,05/11/1958 18:15:00,11.54,162.35,0,81,BUTTERNUT:Hardtack I,
USA,Atmospheric,05/12/1958 18:30:00,11.67,162.2,0,1370,KOA:Hardtack I,
USA,Underwater,05/16/1958 01:30:00,11.344,162.178,0.152,9,WAHOO,
USA,Atmospheric,05/20/1958 18:30:00,11.54,162.34,0,5.9,HOLLY:Hardtack I,
USA,Atmospheric,05/21/1958 21:20:00,11.5,165.37,0,25.1,NUTMEG:Hardtack I,
USA,Atmospheric,05/26/1958 02:00:00,11.66,162.23,0,330,YELLOWWOOD:Hardtack I,
USA,Atmospheric,05/26/1958 18:00:00,11.54,162.35,0,57,MAGNOLIA:Hardtack I,
USA,Atmospheric,05/30/1958 02:15:00,11.67,162.23,0,11.6,TOBACCO:Hardtack I,
USA,Atmospheric,05/31/1958 03:00:00,11.7,165.27,0,92,SYCAMORE:Hardtack I,
USA,Atmospheric,06/02/1958 18:45:00,11.54,162.34,0,15,ROSE:Hardtack I,
USA,Underwater,06/08/1958 23:15:00,11.38,162.218,0.045,8,UMBRELLA,
USA,Atmospheric,06/10/1958 17:30:00,11.69,165.42,0,213,MAPLE:Hardtack I,
USA,Atmospheric,06/14/1958 17:30:00,11.7,165.27,0,319,ASPEN:Hardtack I,
USA,Atmospheric,06/14/1958 18:30:00,11.66,162.23,0,1450,WALNUT:Hardtack I,
USA,Atmospheric,06/18/1958 03:00:00,11.54,162.35,0,11,LINDEN:Hardtack I,
USA,Atmospheric,06/27/1958 17:30:00,11.69,165.42,0,412,REDWOOD:Hardtack I,
USA,Atmospheric,06/27/1958 18:30:00,11.65,162.25,0,880,ELDER:Hardtack I,
USA,Atmospheric,06/28/1958 19:30:00,11.61,162.11,0,8900,OAK:Hardtack I,
USA,Atmospheric,06/29/1958 00:00:00,11.5,165.37,0,14,HICKORY:Hardtack I,
USA,Atmospheric,07/01/1958 18:30:00,11.56,162.34,0,5.2,SEQUOIA:Hardtack I,
USA,Atmospheric,07/02/1958 17:30:00,11.7,165.27,0,220,CEDAR:Hardtack I,
USA,Atmospheric,07/05/1958 18:30:00,11.66,162.23,0,397,DOGWOOD:Hardtack I,
USA,Atmospheric,07/12/1958 03:30:00,11.7,165.27,0,9300,POPLAR:Hardtack I,
USA,Atmospheric,07/14/1958 04:00:00,11.54,162.35,0,,SCAEVOLA:Hardtack I,
USA,Atmospheric,07/17/1958 23:00:00,11.54,162.34,0,255,PISONIA:Hardtack I,
USA,Atmospheric,07/22/1958 04:20:00,11.5,165.37,0,65,JUNIPER:Hardtack I,
USA,Atmospheric,07/22/1958 20:30:00,11.66,162.23,0,202,OLIVE:Hardtack I,
USA,Atmospheric,07/26/1958 20:30:00,11.65,162.22,0,2000,PINE:Hardtack I,
USA,Atmospheric,08/01/1958 10:50:06,16.73,-169.53,-76.81,3800,TEAK:Hardtack I,
USA,Atmospheric,08/06/1958 02:15:00,11.544,162.354,0,,QUINCE:Hardtack I,
USA,Atmospheric,08/12/1958 10:30:09,16.37,-169.53,-42.98,3800,ORANGE:Hardtack I,
USA,Atmospheric,08/18/1958 04:00:00,11.544,162.354,0,0.02,FIG:Hardtack I,
GBR,Atmospheric,08/22/1958 17:24:00,1.67,-157.25,,1000,Pennant 2,
USA,Atmospheric,08/27/1958 02:27:00,-38.8,-10.925,-200,2,ARGUS I:Argus,
USA,Atmospheric,08/30/1958 09:17:00,-49.4,-8.7,-200,2,ARGUS II:Argus,
GBR,Atmospheric,09/02/1958 17:24:00,1.67,-157.25,-2.85,3000,Flagpole 1,
USA,Atmospheric,09/06/1958 22:12:00,-49.5,-10.45,-200,2,ARGUS III:Argus,
GBR,Atmospheric,09/11/1958 17:49:00,1.67,-157.25,-2.65,3000,Halliard 1,
USA,Underground,09/12/1958 20:00:00,37.05,-116.033,0.146,0.038,OTERO,US Yucca Flat
USA,Underground,09/17/1958 19:30:00,37.05,-116.034,0.139,0.015,BERNALILLO,US Yucca Flat
USA,Atmospheric,09/19/1958 14:00:00,37.0867,-116.0236,-0.15,0.083,EDDY:Hardtack II,
USA,Underground,09/21/1958 19:00:00,37.049,-116.035,0.148,0.0015,LUNA,US Yucca Flat
GBR,Atmospheric,09/23/1958 17:49:00,1.67,-157.25,0,1,Burgee 2,
USA,Underground,09/23/1958 22:00:00,37.193,-116.201,0.056,,MERCURY,Rainier Mesa
USA,Underground,09/26/1958 20:00:00,37.05,-116.031,0.148,0.002,VALENCIA,US Yucca Flat
USA,Underground,09/28/1958 00:00:00,37.193,-116.201,0.038,0.013,MARS,Rainier Mesa
USA,Atmospheric,09/29/1958 14:05:00,37.0867,-116.0236,-0.46,2,MORA:Hardtack II,
SOV,Atmospheric,09/30/1958 07:50:00,73.85,54.5,-1.5,1200,,
SOV,Atmospheric,09/30/1958 09:55:00,73.85,54.5,-2.5,900,,
SOV,Atmospheric,10/02/1958 08:00:00,73.85,54.5,-1.4,290,,
SOV,Atmospheric,10/02/1958 09:01:00,73.85,54.5,,40,,
SOV,Atmospheric,10/04/1958 00:00:00,73.85,54.5,-0.8,9,,
SOV,Atmospheric,10/05/1958 06:00:00,73.85,54.5,-1.2,15,,
USA,Atmospheric,10/05/1958 14:10:00,37.0867,-116.0236,-0.11,0.077,HIDALGO:Hardtack II,
USA,Underground,10/05/1958 16:15:00,37.049,-116.035,0.152,0.0055,COLFAX,US Yucca Flat
SOV,Atmospheric,10/06/1958 00:00:00,73.85,54.5,-1.2,5.5,,
USA,Underground,10/08/1958 22:00:00,37.195,-116.201,0.101,0.072,TAMALPAIS,Rainier Mesa
SOV,Atmospheric,10/10/1958 07:51:00,73.85,54.5,,68,,
USA,Atmospheric,10/10/1958 14:30:00,37.0947,-116.0236,-0.03,0.079,QUAY:Hardtack II,
SOV,Atmospheric,10/12/1958 07:53:34,73.85,54.5,,1450,,
USA,Atmospheric,10/13/1958 13:20:00,37.0867,-116.0236,-0.46,1.4,LEA:Hardtack II,
USA,Underground,10/14/1958 18:00:00,37.194,-116.201,0.03,0.115,NEPTUNE,Rainier Mesa
SOV,Atmospheric,10/15/1958 07:51:14,73.85,54.5,-2.15,1500,,
USA,Atmospheric,10/15/1958 16:00:00,36.8022,-115.9322,-0.02,0.0012,HAMILTON:Hardtack II,
