"Name of Satellite, Alternate Names"	Country of Operator/Owner	Operator/Owner	Users	Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																														
Interstellar Boundary EXplorer (IBEX)	USA	NASA/Goddard Space Flight Center	Government	Space Physics	Elliptical	Deep Highly Eccentric	0	"7,000"	"320,000"	9.21E-01	11	8 days	462			10/19/2008		Orbital Sciences Corp.	USA	Kwajalein Island	Pegasus XL	2008-051A	33401	Monitor the boundary between heliosphere and interstellar medium.		SC - ASCR 1/09	http://www.ibex.swri.edu/	http://www.lib.cas.cz/space.40/2008/I065B.HTM																																																																																																																																																																																																																																		
Iridium 10 (Iridium SV010)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	775	778	2.10E-04	86.4	100.37	689	556	"1,400 (EOL)"	6/18/1997	8 yrs.	Motorola Satellite Communications Group	USA	Baikonur Cosmodrome	Proton K	1997-030D	24839	"66 satellite constellation with 13 spares; 15-20 ground stations with master control complex in Landsdowne, VA; backup in Italy, third engineering center in Chandler, AZ; Filed for Chapter 11 in 2000; started to let system deorbit. Iridium Satellite LLC purchased assets of Iridium LLC. DoD stepped in-- renewable DoD contract; unlimited airtime to 20,000 govt. workers; mobile voice, data and paging"		JMSatcat304	samadhi.jpl.nasa.gov	http://www.rod.sladen.org.uk/iridfail.htm	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx524.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 11A (Iridium SVO88)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	687	713	1.84E-03	86.5	98.77	689	556	"1,400 (EOL)"	12/19/1998	8 yrs.	Motorola Satellite Communications Group	USA	Taiyuan Launch Center	Long March 2C	1998-074B	25578			JMSatcat304		http://www.rod.sladen.org.uk/iridfail.htm	http://nssdc.gsfc.nasa.gov/spacewarn/spx542.html		http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 12 (Iridium SV012)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	773	782	6.30E-04	86.3	100.4	689	556	"1,400 (EOL)"	6/18/1997	8 yrs.	Motorola Satellite Communications Group	USA	Baikonur Cosmodrome	Proton K	1997-030B	24837			JMSatcat304	samadhi.jpl.nasa.gov	http://www.rod.sladen.org.uk/iridfail.htm	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx524.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 13 (Iridium SV013)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	773	781	5.60E-04	86.3	100.38	689	556	"1,400 (EOL)"	6/18/1997	8 yrs.	Motorola Satellite Communications Group	USA	Baikonur Cosmodrome	Proton K	1997-030E	24840			JMSatcat304	samadhi.jpl.nasa.gov	http://www.rod.sladen.org.uk/iridfail.htm	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx524.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 14A (Iridium SV092)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	708	711	2.12E-04	86.5	98.98	689	556	"1,400 (EOL)"	6/11/1999	8 yrs.	Motorola Satellite Communications Group	USA	Taiyuan Launch Center	Long March 2C	1999-032A	25777			JMSatcat304		http://www.rod.sladen.org.uk/iridfail.htm			http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 15 (Iridium SV015)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	774	780	4.20E-04	86.4	100.38	689	556	"1,400 (EOL)"	7/9/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-034A	24869			JMSatcat304	samadhi.jpl.nasa.gov	http://www.rod.sladen.org.uk/iridfail.htm	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx525.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 18 (Iridium SV018)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	772	782	7.00E-04	86.4	100.38	689	556	"1,400 (EOL)"	7/9/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-034D	24872			JMSatcat304	samadhi.jpl.nasa.gov	http://www.rod.sladen.org.uk/iridfail.htm	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx525.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 19 (Iridium SV019)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	775	778	2.10E-04	86.3	100.37	689	556	"1,400 (EOL)"	9/27/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-056A	24965			JMSatcat304	samadhi.jpl.nasa.gov	http://www.rod.sladen.org.uk/iridfail.htm	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 20A (Iridium SV089)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	685	712	1.91E-03	86.5	98.74	689	556	"1,400 (EOL)"	12/19/1998	8 yrs.	Motorola Satellite Communications Group	USA	Taiyuan Launch Center	Long March 2C	1998-074A	25577			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx542.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 21A (Iridium SVO93)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	709	711	1.41E-04	86.5	98.98	689	556	"1,400 (EOL)"	6/11/1999	8 yrs.	Motorola Satellite Communications Group	USA	Taiyuan Launch Center	Long March 2C	1999-032B	25778			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx548.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 22 (Iridium SV022)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	776	778	1.40E-04	86.4	100.38	689	556	"1,400 (EOL)"	8/21/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-043E	24907			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx526.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 23 (Iridium SV023)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	775	779	2.80E-04	86.3	100.38	689	556	"1,400 (EOL)"	8/21/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-043D	24906			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx526.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 25 (Iridium SV025)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	775	780	3.50E-04	86.4	100.4	689	556	"1,400 (EOL)"	8/21/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-043B	24904			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx526.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 29 (Iridium SV029)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	776	778	1.40E-04	86.4	100.38	689	556	"1,400 (EOL)"	9/14/1997	8 yrs.	Motorola Satellite Communications Group	USA	Baikonur Cosmodrome	Proton K	1997-051A	24944			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 3 (Iridium SV078)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	776	779	2.10E-04	86.3	100.4	689	556	"1,400 (EOL)"	8/19/1998	8 yrs.	Motorola Satellite Communications Group	USA	Taiyuan Launch Center	Long March 2C	1998-048A	25431			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx538.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 30 (Iridium SV030)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	774	780	4.20E-04	86.3	100.38	689	556	"1,400 (EOL)"	9/14/1997	8 yrs.	Motorola Satellite Communications Group	USA	Baikonur Cosmodrome	Proton K	1997-051F	24949			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 31 (Iridium SVO31)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	776	778	1.40E-04	86.4	100.38	689	556	"1,400 (EOL)"	9/14/1997	8 yrs.	Motorola Satellite Communications Group	USA	Baikonur Cosmodrome	Proton K	1997-051G	24950			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 32 (Iridium  SV032)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	776	778	1.40E-04	86.4	100.38	689	556	"1,400 (EOL)"	9/14/1997	8 yrs.	Motorola Satellite Communications Group	USA	Baikonur Cosmodrome	Proton K	1997-051B	24945			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 34 (Iridium SV034)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	775	779	2.80E-04	86.4	100.38	689	556	"1,400 (EOL)"	9/27/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-056E	24969			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 35 (Iridium SV035)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	775	779	2.80E-04	86.4	100.38	689	556	"1,400 (EOL)"	9/27/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-056B	24966			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 37 (Iridium SV037)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	776	778	1.40E-04	86.3	100.38	689	556	"1,400 (EOL)"	9/27/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-056D	24968			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 39 (Iridium SV039)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400 (EOL)"	11/9/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-069D	25042			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx529.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 4 (Iridium SV004)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	771	784	9.09E-04	86.4	100.4	689	556	"1,400 (EOL)"	5/5/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-020E	24796			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx523.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 40 (Iridium SV040)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	767	770	2.10E-04	86.4	100.21	689	556	"1,400 (EOL)"	11/9/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-069C	25041			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx529.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 41 (Iridium SV041)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	775	778	2.10E-04	86.4	100.37	689	556	"1,400 (EOL)"	11/9/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-069B	25040			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx529.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 42 (Iridium SV042)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	764	766	1.40E-04	86.4	100.13	689	556	"1,400 (EOL)"	12/8/1997	8 yrs.	Motorola Satellite Communications Group	USA	Taiyuan Launch Center	Long March 2C	1997-077A	25077			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 43 (Iridium SV043)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400 (EOL)"	11/9/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-069A	25039			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx529.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 45 (Iridium SV045)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	775	779	2.80E-04	86.4	100.38	689	556	"1,400 (EOL)"	12/20/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-082A	25104			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 47 (Iridium SV047)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	775	779	2.80E-04	86.4	100.38	689	556	"1,400 (EOL)"	12/20/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-082C	25106			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 49 (Iridium SV049)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	775	779	2.80E-04	86.4	100.38	689	556	"1,400 (EOL)"	12/20/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-082E	25108			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 5 (Iridium SV005)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	769	784	1.05E-03	86.4	100.4	689	556	"1,400 (EOL)"	5/5/1997	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1997-020D	24795	"According to Rod Sladen, the only person who tracks the Iridium system, Iridium 51 may have replaced Iridium 5, but its not certain at this time."		JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx523.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 50 (Iridium SV050)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	774	779	3.50E-04	86.4	100.37	689	556	"1,400 (EOL)"	2/18/1998	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1998-010D	25172			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx532.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 51 (Iridium SV 051)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	747	750	2.11E-04	86.5	99.8	689	556	"1,400 (EOL)"	3/25/1998	8 yrs.	Motorola Satellite Communications Group	USA	Taiyuan Launch Center	Long March 2C	1998-018A	25262	Iridium 51 and Iridium 5 were first confused by OIG. They have been correctly separated.		SC - ASCR 1/12	http://www.lib.cas.cz/space.40/1998/018A.HTM																																																																																																																																																																																																																																			
Iridium 52 (Iridium SV052)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	774	781	4.90E-04	86.3	100.4	689	556	"1,400 (EOL)"	2/18/1998	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1998-010A	25169			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx532.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 53 (Iridium SV053)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	775	779	2.80E-04	86.3	100.38	689	556	"1,400 (EOL)"	2/18/1998	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1998-010E	25173			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx532.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
Iridium 54 (Iridium SV054)	USA	Iridium Satellite LLC	Government/Commercial	Communications	LEO	Polar	0	690	695	3.54E-04	86.5	98.61	689	556	"1,400 (EOL)"	2/18/1998	8 yrs.	Motorola Satellite Communications Group	USA	Vandenberg AFB	Delta 2 7920	1998-010C	25171			JMSatcat304	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx532.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																														
