"Name of Satellite, Alternate Names"	Country of Operator/Owner	Operator/Owner	Users	Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																														
AMC-18 (Americom 18)	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-104.97	"35,773"	"35,800"	3.20E-04	0.06	1436.1	"2,081"	918		12/8/2006	15 yrs.	Lockheed Martin Missiles and Space	USA	Guiana Space Center	Ariane 5	2006-054B	29644	All c-band transponders for North American coverage.		JM/12_08	http://www.ses-americom.com/americom/siteSections/pressroom/12_08_06.php	http://www.lib.cas.cz/www/space.40/INDEX1.HTM																																																																																																																																																																																																																																		
"AMC-2 (Americom 2, GE-2)"	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-100.98	"35,774"	"35,798"	2.85E-04	0.05	1436.1	"2,648"	"1,600"	"6,500 (EOL)"	1/30/1997	15 yrs.	Lockheed Martin Commercial Space Systems	USA	Guiana Space Center	Ariane 44L	1997-002A	24713	"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band"		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://ses-americom.com/satellites/amc-2.html																																																																																																																																																																																																																																		
AMC-21 (Americom 21)	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-124.86	"35,778"	"35,793"	1.78E-04	3	1436.1	"2,500"		"5,000"	8/14/2008	15 yrs.	Orbital Sciences Corp.	USA	Guiana Space Center	Ariane 5 ECA	2008-038B	33275	"Television services to the US, Canada, Mexico and Caribbean."		JM/12_08	http://www.orbital.com/NewsInfo/Publications/AMC-21_Fact.pdf	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2008/038B.HTM																																																																																																																																																																																																																																		
"AMC-3 (Americom 3, GE-3)"	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-86.96	"35,777"	"35,795"	2.13E-04	0.02	1436.08	"2,845"	"1,600"	"6,500 (EOL)"	9/4/1997	15 yrs.	Lockheed Martin Commercial Space Systems	USA	Cape Canaveral	Atlas 2AS	1997-050A	24936	"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band"		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/	http://ses-americom.com/satellites/amc-3.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																																	
"AMC-4 (Americom-4, GE-4)"	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-100.99	"35,781"	"35,791"	1.19E-04	0.01	1436.1	"3,909"	"2,500"		11/13/1999	15 yrs.	Lockheed Martin Commercial Space Systems	USA	Guiana Space Center	Ariane 44LP	1999-060A	25954	"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band"		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://ses-americom.com/satellites/amc-4.html																																																																																																																																																																																																																																		
"AMC-5 (Americom-5, GE-5)"	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-78.93	"35,777"	"35,796"	2.25E-04	0.03	1436.1	"1,698"	769		10/28/1998	15 yrs.	Alcatel Space Industries	France	Guiana Space Center	Ariane 44L	1998-063B	25516	"Broadband internet, business television; 16 Ku-band; CONUS"		JM/12_08	http://www.lib.cas.cz/www/space.40/1998/063B.HTM	http://ses-americom.com/satellites/amc-5.html																																																																																																																																																																																																																																		
"AMC-6 (Americom-6, GE-6)"	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-71.98	"35,778"	"35,795"	2.02E-04	0.05	1436.12	"3,901"	"2,500"		10/22/2000	15 yrs.	Lockheed Martin Commercial Space Systems	USA	Baikonur Cosmodrome	Proton K	2000-067A	26580	"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America"		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/	http://ses-americom.com/satellites/amc-6.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																																	
"AMC-7 (Americom-7, GE-7)"	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-136.94	"35,773"	"35,798"	2.97E-04	0.01	1436.08	"1,935"	912	"6,500 (EOL)"	9/14/2000	15 yrs.	Lockheed Martin Commercial Space Systems	USA	Guiana Space Center	Ariane 5G	2000-054B	26495	"Cable programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean"		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://ses-americom.com/satellites/amc-7.html	http://www.planet4589.org/space/jsr/back/news.435																																																																																																																																																																																																																																	
"AMC-8 (Americom-8, GE-8, Aurora 3)"	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-139	"35,773"	"35,798"	2.97E-04	0.03	1436.07	"2,015"	919	"3,300"	12/19/2000	15 yrs.	Lockheed Martin Commercial Space Systems	USA	Guiana Space Center	Ariane 5G	2000-081B	26639	"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean"		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://ses-americom.com/satellites/amc-8.html																																																																																																																																																																																																																																		
"AMC-9 (Americom 9, GE-12)"	USA	SES (Societe Europienne des Satellites)	Commercial	Communications	GEO		-82.95	"35,773"	"35,798"	2.97E-04	0.05	1436.08	"4,100"	"2,000"	"10,000"	6/7/2003	15+ yrs.	Alcatel Space Industries	France	Baikonur Cosmodrome	Proton K	2003-024A	27820	"Television programmers, government agencies and enterprise networks; 24 Ku-band; CONUS and Mexico."		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/	http://ses-americom.com/satellites/amc-9.html	http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2003.html#AMC-9	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																																
